Time,Action,Entry Type,Entry Price,Exit Price,PnL
2025-05-20 10:30:01.836850,SELL,long2,134.92,132.98,-1.94
2025-05-30 17:30:04.320002,SELL,short1,139.03,134.99,-4.04
2025-06-03 10:30:04.072672,SELL,long1,136.56,141.25,4.69
2025-06-05 12:00:02.353198,SELL,short1,140.58,143.84,3.26
2025-06-09 14:45:01.805738,SELL,long2,143.84,142.84,-1.0
2025-06-10 07:00:00.412743,SELL,short1,142.19,143.01,0.82
2025-06-11 12:30:06.493614,SELL,long2,143.01,143.24,0.23
2025-06-12 09:45:03.319956,SELL,short1,143.57,141.98,-1.59
2025-06-12 15:15:03.991006,SELL,long1,144.71,144.63,-0.08
2025-06-13 16:15:04.041398,SELL,short1,142.17,141.96,-0.21
2025-06-16 14:00:01.424910,SELL,long1,143.21,145.27,2.06
2025-06-18 11:00:00.668541,SELL,short1,144.19,145.33,1.14
2025-06-20 07:00:02.665525,SELL,long2,145.33,144.86,-0.47
2025-06-23 05:00:01.673308,SELL,short1,143.84,143.41,-0.43
2025-06-24 08:45:06.702362,SELL,long1,144.32,145.44,1.12
2025-06-27 11:45:06.744309,SELL,short1,154.83,157.91,3.08
2025-06-30 10:45:09.996403,SELL,long2,157.91,157.1,-0.81
2025-06-30 13:15:05.055814,SELL,short1,157.09,157.99,0.9
2025-07-03 17:00:01.927221,SELL,long2,157.99,159.24,1.25
2025-07-08 05:45:04.818186,SELL,short1,158.2,159.65,1.45
2025-07-09 07:30:00.859438,SELL,long2,159.65,160.41,0.76
2025-07-10 14:00:02.263582,SELL,short1,162.6,164.0,1.4
2025-07-11 19:15:03.767179,SELL,long2,164.0,164.96,0.96
2025-07-15 04:45:09.205070,SELL,short1,162.1,171.3,9.2
2025-07-15 16:15:01.153485,SELL,long2,171.3,170.55,-0.75
2025-07-17 04:30:08.831293,SELL,short1,169.83,172.8,2.97
2025-07-17 17:15:09.569917,SELL,long2,172.8,173.15,0.35
2025-07-21 19:15:03.939689,SELL,short1,172.64,171.01,-1.63
2025-07-24 07:30:00.783503,SELL,long1,168.79,172.6,3.81
2025-07-29 12:00:05.055257,SELL,long2,174.05,175.58,1.53
2025-07-30 11:15:09.411271,SELL,short1,176.22,178.87,2.65
